codigo;periodo;demanda;custo_deficit
1;1;47;4000
1;2;44;4000
1;3;43;4000
1;4;42;4000
1;5;43;4000
1;6;45;4000
1;7;47;4000
1;8;49;4000
1;9;50;4000
1;10;50;4000
1;11;50;4000
1;12;50;4000
1;13;49;4000
1;14;50;4000
1;15;51;4000
1;16;53;4000
1;17;54;4000
1;18;55;4000
1;19;59;4000
1;20;59;4000
1;21;58;4000
1;22;56;4000
1;23;53;4000
1;24;49;4000
1;25;47;4000
1;26;44;4000
1;27;43;4000
1;28;42;4000
1;29;43;4000
1;30;45;4000
1;31;47;4000
1;32;49;4000
1;33;50;4000
1;34;50;4000
1;35;50;4000
1;36;50;4000
1;37;49;4000
1;38;50;4000
1;39;51;4000
1;40;53;4000
1;41;54;4000
1;42;55;4000
1;43;59;4000
1;44;59;4000
1;45;58;4000
1;46;56;4000
1;47;53;4000
1;48;49;4000
1;49;47;4000
1;50;44;4000
1;51;43;4000
1;52;42;4000
1;53;43;4000
1;54;45;4000
1;55;47;4000
1;56;49;4000
1;57;50;4000
1;58;50;4000
1;59;50;4000
1;60;50;4000
1;61;49;4000
1;62;50;4000
1;63;51;4000
1;64;53;4000
1;65;54;4000
1;66;55;4000
1;67;59;4000
1;68;59;4000
1;69;58;4000
1;70;56;4000
1;71;53;4000
1;72;49;4000
1;73;47;4000
1;74;44;4000
1;75;43;4000
1;76;42;4000
1;77;43;4000
1;78;45;4000
1;79;47;4000
1;80;49;4000
1;81;50;4000
1;82;50;4000
1;83;50;4000
1;84;50;4000
1;85;49;4000
1;86;50;4000
1;87;51;4000
1;88;53;4000
1;89;54;4000
1;90;55;4000
1;91;59;4000
1;92;59;4000
1;93;58;4000
1;94;56;4000
1;95;53;4000
1;96;49;4000
1;97;47;4000
1;98;44;4000
1;99;43;4000
1;100;42;4000
1;101;43;4000
1;102;45;4000
1;103;47;4000
1;104;49;4000
1;105;50;4000
1;106;50;4000
1;107;50;4000
1;108;50;4000
1;109;49;4000
1;110;50;4000
1;111;51;4000
1;112;53;4000
1;113;54;4000
1;114;55;4000
1;115;59;4000
1;116;59;4000
1;117;58;4000
1;118;56;4000
1;119;53;4000
1;120;49;4000
1;121;47;4000
1;122;44;4000
1;123;43;4000
1;124;42;4000
1;125;43;4000
1;126;45;4000
1;127;47;4000
1;128;49;4000
1;129;50;4000
1;130;50;4000
1;131;50;4000
1;132;50;4000
1;133;49;4000
1;134;50;4000
1;135;51;4000
1;136;53;4000
1;137;54;4000
1;138;55;4000
1;139;59;4000
1;140;59;4000
1;141;58;4000
1;142;56;4000
1;143;53;4000
1;144;49;4000
1;145;47;4000
1;146;44;4000
1;147;43;4000
1;148;42;4000
1;149;43;4000
1;150;45;4000
1;151;47;4000
1;152;49;4000
1;153;50;4000
1;154;50;4000
1;155;50;4000
1;156;50;4000
1;157;49;4000
1;158;50;4000
1;159;51;4000
1;160;53;4000
1;161;54;4000
1;162;55;4000
1;163;59;4000
1;164;59;4000
1;165;58;4000
1;166;56;4000
1;167;53;4000
1;168;49;4000
